CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
13001,MR.,CLARENCE,ZHANG,9/6/1969,S,M,clarence37@adventure-works.com,130000,1,Graduate Degree,Management,Y
13002,MR.,ROGER,CAI,8/22/1967,M,M,roger25@adventure-works.com,80000,5,Graduate Degree,Management,N
13003,MRS.,JILL,HERNANDEZ,1/20/1967,M,F,jill11@adventure-works.com,80000,5,Graduate Degree,Management,Y
13004,MR.,RANDY,CHEN,5/4/1967,M,M,randy4@adventure-works.com,80000,5,Graduate Degree,Management,N
13005,MRS.,DESIREE,ALVAREZ,8/15/1966,M,F,desiree0@adventure-works.com,80000,5,Graduate Degree,Management,N
13006,MS.,WHITNEY,RANA,4/21/1966,S,F,whitney10@adventure-works.com,90000,0,Bachelors,Professional,N
13007,MRS.,BROOKE,WARD,10/5/1965,S,F,brooke11@adventure-works.com,60000,2,Bachelors,Professional,N
13008,MR.,ALBERTO,MUÑOZ,7/9/1965,M,M,alberto8@adventure-works.com,60000,3,Bachelors,Professional,Y
13009,MRS.,MINDY,SHE,3/11/1965,M,F,mindy4@adventure-works.com,60000,3,Bachelors,Professional,Y
13010,MRS.,ERICA,YE,8/16/1965,M,F,erica9@adventure-works.com,60000,3,Bachelors,Professional,Y
13011,MS.,ANNE,ORTEGA,5/4/1965,S,F,anne22@adventure-works.com,70000,0,Bachelors,Professional,N
13012,MS.,KRYSTAL,HU,9/24/1965,S,F,krystal20@adventure-works.com,70000,0,Bachelors,Professional,N
13013,MR.,VINCENT,YE,11/8/1964,M,M,vincent9@adventure-works.com,60000,4,Bachelors,Professional,N
13014,MR.,JAMES,CLARK,7/13/1968,M,M,james92@adventure-works.com,100000,2,Bachelors,Management,Y
13015,MRS.,REBECCA,PARKER,7/11/1968,S,F,rebecca10@adventure-works.com,100000,2,Bachelors,Management,N
13016,MR.,ANTONIO,BRYANT,7/4/1968,M,M,antonio18@adventure-works.com,110000,1,Graduate Degree,Management,Y
13017,MR.,XAVIER,ALEXANDER,2/16/1979,M,M,xavier59@adventure-works.com,30000,0,Partial College,Skilled Manual,Y
13018,MR.,BRENDAN,XIE,10/11/1944,M,M,brendan3@adventure-works.com,10000,5,High School,Skilled Manual,Y
13019,MS.,DESTINY,MURPHY,3/1/1979,S,F,destiny31@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
13020,MR.,MADALENA,SANCHEZ,5/10/1945,M,M,madalena0@adventure-works.com,10000,2,Partial High School,Clerical,Y
13021,MRS.,KENDRA,DIAZ,7/9/1946,S,F,kendra3@adventure-works.com,30000,2,Partial College,Clerical,Y
13022,MR.,RAFAEL,MA,8/24/1947,M,M,rafael17@adventure-works.com,10000,2,Partial High School,Clerical,Y
13023,MRS.,DOMINIQUE,RAMAN,2/27/1947,S,F,dominique9@adventure-works.com,20000,4,High School,Skilled Manual,Y
13024,MR.,MARC,MORENO,3/9/1947,M,M,marc10@adventure-works.com,30000,2,Partial College,Clerical,N
13025,MR.,REGINALD,SERRANO,11/19/1947,M,M,reginald2@adventure-works.com,30000,2,Partial College,Clerical,N
13026,MRS.,COLLEEN,ZHENG,4/15/1948,S,F,colleen20@adventure-works.com,10000,2,Partial High School,Clerical,Y
13027,MR.,JEREMY,PATTERSON,12/11/1977,S,M,jeremy27@adventure-works.com,40000,0,Partial High School,Clerical,Y
13028,MR.,DALTON,THOMPSON,9/17/1977,S,M,dalton14@adventure-works.com,30000,0,Partial College,Skilled Manual,Y
13029,MS.,JENNIFER,FOSTER,9/5/1977,S,F,jennifer89@adventure-works.com,30000,0,Partial College,Skilled Manual,N
13030,MS.,SOPHIA,LOPEZ,7/13/1977,S,F,sophia19@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
13031,MR.,HUNTER,SHAN,2/16/1977,S,M,hunter26@adventure-works.com,60000,0,Partial College,Skilled Manual,N
13032,MR.,KEVIN,BAKER,4/9/1977,M,M,kevin45@adventure-works.com,70000,0,Partial College,Skilled Manual,Y
13033,MR.,XAVIER,GONZALEZ,11/20/1976,S,M,xavier31@adventure-works.com,60000,0,Partial College,Skilled Manual,N
13034,MRS.,KELSEY,YUAN,2/27/1949,S,F,kelsey6@adventure-works.com,20000,2,Partial High School,Clerical,Y
13035,MRS.,KRISTY,TORRES,11/3/1950,M,F,kristy11@adventure-works.com,30000,3,Partial College,Clerical,N
13036,MRS.,VIRGINIA,SUBRAM,2/3/1950,S,F,virginia15@adventure-works.com,30000,3,Partial College,Clerical,Y
13037,MR.,TERRENCE,PAL,4/26/1950,M,M,terrence12@adventure-works.com,30000,3,High School,Skilled Manual,N
